iter	RMSE
0	14.65519095
1	14.21081993
2	13.8035531
3	13.39571072
4	12.98263459
5	12.63913151
6	12.27920425
7	11.95868616
8	11.62185467
9	11.28145648
10	10.95740504
11	10.68538595
12	10.43355466
13	10.14507473
14	9.857301163
15	9.585425256
16	9.330765093
17	9.097033661
18	8.857063646
19	8.638367328
20	8.425649621
21	8.226514049
22	8.021378706
23	7.835412841
24	7.646091635
25	7.465332262
26	7.290925915
27	7.135381278
28	6.974058355
29	6.809491711
30	6.674512035
31	6.52857194
32	6.403575305
33	6.264860626
34	6.132627266
35	6.006568879
36	5.890954868
37	5.787556543
38	5.681632486
39	5.579901344
40	5.48534043
41	5.396943817
42	5.318203303
43	5.231263761
44	5.151637936
45	5.0729768
46	4.996464284
47	4.923850512
48	4.857365157
49	4.790774575
50	4.730862146
51	4.66895278
52	4.613377732
53	4.560256224
54	4.50683163
55	4.457509166
56	4.409546496
57	4.360737248
58	4.316978363
59	4.276685971
60	4.236727107
61	4.193819622
62	4.151077331
63	4.114691162
64	4.078831316
65	4.044177194
66	4.008930341
67	3.973862349
68	3.946993186
69	3.917067163
70	3.891444213
71	3.862805577
72	3.839930384
73	3.817601936
74	3.794485243
75	3.766689896
76	3.746730573
77	3.72677993
78	3.707072395
79	3.687103647
80	3.673746219
81	3.655799074
82	3.6399279
83	3.622138959
84	3.607397845
85	3.59313726
86	3.57851678
87	3.565204518
88	3.553688411
89	3.539530804
90	3.527146074
91	3.515554106
92	3.503489925
93	3.493410522
94	3.482553826
95	3.4714116
96	3.461823319
97	3.459494441
98	3.449168139
99	3.437970075
100	3.427231179
101	3.418868521
102	3.410148661
103	3.402148444
104	3.393036955
105	3.38321018
106	3.375613366
107	3.367861459
108	3.36066539
109	3.352260255
110	3.346410547
111	3.3394146
112	3.333405698
113	3.326352329
114	3.320837618
115	3.316520239
116	3.310998981
117	3.303328192
118	3.297729615
119	3.29151963
120	3.285505736
121	3.28106799
122	3.276331551
123	3.271798137
124	3.268077771
125	3.262818483
126	3.257951106
127	3.253042667
128	3.247772978
129	3.243677775
130	3.239477993
131	3.234588714
132	3.229469679
133	3.223687009
134	3.218099222
135	3.213820392
136	3.209981979
137	3.206413908
138	3.201631929
139	3.197149927
140	3.191397521
141	3.187655867
142	3.183043254
143	3.178647055
144	3.174397451
145	3.171108919
146	3.166803349
147	3.161991808
148	3.161325613
149	3.157120307
150	3.153258877
151	3.150778841
152	3.145688114
153	3.141982869
154	3.140090631
155	3.136402999
156	3.13258511
157	3.12997708
158	3.125377507
159	3.12209243
160	3.119213853
161	3.116494977
162	3.114285527
163	3.110506935
164	3.106034589
165	3.103997486
166	3.10015867
167	3.096404007
168	3.094843448
169	3.092371627
170	3.088848452
171	3.08497182
172	3.080411203
173	3.076855065
174	3.073520641
175	3.072034586
176	3.068180761
177	3.066444694
178	3.063582438
179	3.059439421
180	3.056716842
181	3.053622028
182	3.051097872
183	3.047099448
184	3.045232955
185	3.042375605
186	3.040154978
187	3.036738506
188	3.034796301
189	3.033362131
190	3.030138627
191	3.027700794
192	3.024929194
193	3.021232392
194	3.019965653
195	3.018820112
196	3.016091834
197	3.014886505
198	3.012559105
199	3.010475245
200	3.007509043
201	3.004920814
202	3.004201238
203	3.002206801
204	3.000496679
205	2.9985606
206	2.997202759
207	2.993011246
208	2.992108683
209	2.989906417
210	2.987085208
211	2.983729064
212	2.982548843
213	2.980575108
214	2.979479346
215	2.978064317
216	2.976974833
217	2.976394392
218	2.97330319
219	2.971550013
220	2.969104204
221	2.968155464
222	2.965509492
223	2.963383698
224	2.962344254
225	2.961587319
226	2.959610419
227	2.956935419
228	2.955610733
229	2.952052136
230	2.951036521
231	2.949900048
232	2.947847372
233	2.946221526
234	2.944852639
235	2.943488008
236	2.939358563
237	2.938858046
238	2.938665176
239	2.936863415
240	2.93579721
241	2.932948008
242	2.931419094
243	2.928765315
244	2.927693384
245	2.927142931
246	2.924906872
247	2.923108733
248	2.92263089
249	2.921987723
250	2.919626386
251	2.917007217
252	2.916513192
253	2.914615856
254	2.91032679
255	2.909714257
256	2.908611787
257	2.907879949
258	2.90688593
259	2.904959356
260	2.901722142
261	2.899925795
262	2.899489399
263	2.899176927
264	2.893260221
265	2.892806573
266	2.892247864
267	2.889138266
268	2.88399747
269	2.882249914
270	2.880334607
271	2.88022128
272	2.879638743
273	2.879010693
274	2.87786462
275	2.87686224
276	2.875588903
277	2.875192751
278	2.874637718
279	2.873228585
280	2.87276443
281	2.87155684
282	2.871166093
283	2.866769122
284	2.86634057
285	2.864445344
286	2.863860918
287	2.863578987
288	2.863223816
289	2.862652275
290	2.862277695
291	2.860601694
292	2.860262084
293	2.85466021
294	2.85436583
295	2.854127834
296	2.853665809
297	2.853427672
298	2.85157417
299	2.8488111
300	2.848581089
301	2.846384679
302	2.846305829
303	2.844900104
304	2.843908145
305	2.841072075
306	2.838726204
307	2.837688354
308	2.835442678
309	2.831472702
310	2.829334627
311	2.825625485
312	2.825424533
313	2.8240624
314	2.820169994
315	2.81503873
316	2.81481245
317	2.81188326
318	2.80812896
319	2.805123555
320	2.801258337
321	2.800568078
322	2.796185952
323	2.792999839
324	2.789579725
325	2.787490967
326	2.786790993
327	2.786444117
328	2.786168047
329	2.782579076
330	2.780391652
331	2.779893558
332	2.779665989
333	2.777141519
334	2.774997729
335	2.771469256
336	2.771249814
337	2.765661337
338	2.762822132
339	2.76076647
340	2.758532218
341	2.754255006
342	2.751293163
343	2.748286975
344	2.744056178
345	2.741827224
346	2.739140578
347	2.734925205
348	2.733363258
349	2.732052012
350	2.730013751
351	2.729601341
352	2.727459469
353	2.726453925
354	2.722644879
355	2.720599295
356	2.718630696
357	2.715903463
358	2.713144273
359	2.711730989
360	2.70940287
361	2.706639949
362	2.705718002
363	2.702851893
364	2.70172306
365	2.701423378
366	2.698861112
367	2.695420051
368	2.692275488
369	2.686827228
370	2.684089653
371	2.682136124
372	2.681040994
373	2.677842635
374	2.675986593
375	2.673933142
376	2.672409102
377	2.669051964
378	2.667396207
379	2.662447319
380	2.662275115
381	2.659715894
382	2.655967131
383	2.654292656
384	2.650865448
385	2.649694187
386	2.647155278
387	2.642377866
388	2.639868149
389	2.639651904
390	2.638504933
391	2.635956139
392	2.633586444
393	2.631709201
394	2.62802128
395	2.623937687
396	2.622416861
397	2.620917933
398	2.618413898
399	2.615167494
400	2.613754059
401	2.609978848
402	2.60897616
403	2.607969091
404	2.606531007
405	2.601934424
406	2.599988941
407	2.598078297
408	2.593981106
409	2.591970695
410	2.587573828
411	2.585690213
412	2.583282533
413	2.580165234
414	2.577838199
415	2.574302002
416	2.571088405
417	2.570034277
418	2.568004625
419	2.563902103
420	2.561835517
421	2.559887649
422	2.558143189
423	2.558064831
424	2.555942157
425	2.554020956
426	2.552206103
427	2.552063481
428	2.551533485
429	2.549937972
430	2.547160045
431	2.545645466
432	2.543777331
433	2.541447499
434	2.539990782
435	2.539375188
436	2.53800947
437	2.535149889
438	2.534191069
439	2.532590582
440	2.530995876
441	2.529176068
442	2.528912545
443	2.52741269
444	2.527168354
445	2.525059913
446	2.52334144
447	2.520547318
448	2.518478135
449	2.516217947
450	2.515126681
451	2.514880876
452	2.512529576
453	2.509812065
454	2.508193007
455	2.506800178
456	2.503630242
457	2.502465574
458	2.501416052
459	2.501346386
460	2.499846554
461	2.498750793
462	2.497905893
463	2.496190378
464	2.492183488
465	2.491719673
466	2.490892399
467	2.487360354
468	2.485388894
469	2.482197816
470	2.479714117
471	2.478134619
472	2.474317678
473	2.472405844
474	2.47022977
475	2.469031909
476	2.468246144
477	2.46599075
478	2.463920226
479	2.461776916
480	2.460470596
481	2.458987212
482	2.457017131
483	2.455943923
484	2.455313755
485	2.454234757
486	2.45210006
487	2.450598701
488	2.448853848
489	2.448041614
490	2.447264249
491	2.446214503
492	2.444864417
493	2.443008033
494	2.44203719
495	2.440179932
496	2.439843932
497	2.438136076
498	2.435915958
499	2.434685515
500	2.434516277
501	2.431811296
502	2.430496321
503	2.429506329
504	2.428745442
505	2.426934689
506	2.425529804
507	2.423752087
508	2.421739739
509	2.419813426
510	2.418863238
511	2.417560125
512	2.414939108
513	2.414205759
514	2.410011892
515	2.407882457
516	2.405321415
517	2.403585375
518	2.401132216
519	2.399571857
520	2.398085816
521	2.395029533
522	2.392751907
523	2.392641395
524	2.391547546
525	2.389694576
526	2.389017321
527	2.387436872
528	2.385888362
529	2.384568211
530	2.384435647
531	2.383303499
532	2.381712134
533	2.380669881
534	2.378953562
535	2.377481606
536	2.375447807
537	2.374045527
538	2.372499423
539	2.369917692
540	2.368380715
541	2.366753316
542	2.365243802
543	2.363556213
544	2.361294504
545	2.359856483
546	2.358283296
547	2.357003841
548	2.355831833
549	2.354639453
550	2.35284042
551	2.351635826
552	2.350529788
553	2.349135393
554	2.34737736
555	2.346303588
556	2.343502691
557	2.340787196
558	2.339552214
559	2.338144335
560	2.334640982
561	2.332975929
562	2.331750212
563	2.329881038
564	2.327816522
565	2.327683747
566	2.326433694
567	2.326129084
568	2.324738118
569	2.323810474
570	2.323111982
571	2.322044209
572	2.320984502
573	2.318100594
574	2.317435209
575	2.316454925
576	2.314965933
577	2.313272553
578	2.310673503
579	2.308423478
580	2.307809486
581	2.305403655
582	2.302770482
583	2.301585274
584	2.299136356
585	2.298505551
586	2.294749255
587	2.294652126
588	2.292605589
589	2.291913858
590	2.291088303
591	2.290489063
592	2.290095776
593	2.289294398
594	2.287711392
595	2.286315243
596	2.285337357
597	2.284433572
598	2.283448618
599	2.282036718
600	2.28079388
601	2.279941093
602	2.279820946
603	2.277714356
604	2.275293537
605	2.273759365
606	2.272725466
607	2.270911466
608	2.269722986
609	2.269252063
610	2.268801689
611	2.268346913
612	2.267227663
613	2.265381874
614	2.265311596
615	2.265170267
616	2.264068429
617	2.263052626
618	2.260371613
619	2.259130779
620	2.257724663
621	2.2562186
622	2.255735143
623	2.253457368
624	2.253232008
625	2.252645295
626	2.249573903
627	2.248899345
628	2.2487053
629	2.248260367
630	2.247268484
631	2.246860692
632	2.246163647
633	2.245110475
634	2.244079766
635	2.242463282
636	2.241834317
637	2.240010825
638	2.238480584
639	2.238348777
640	2.235013995
641	2.231123344
642	2.230198825
643	2.229279135
644	2.228225762
645	2.227618671
646	2.225645795
647	2.225011688
648	2.223332064
649	2.222430941
650	2.221312244
651	2.22005579
652	2.219797904
653	2.217460517
654	2.216705286
655	2.216513463
656	2.215651136
657	2.213186683
658	2.212836867
659	2.210549251
660	2.210211097
661	2.210137328
662	2.208286399
663	2.207303467
664	2.206480305
665	2.20597559
666	2.204600481
667	2.203761437
668	2.200094076
669	2.19978373
670	2.197171285
671	2.196380317
672	2.194998883
673	2.193824028
674	2.19348884
675	2.190261559
676	2.189385463
677	2.188181757
678	2.187322914
679	2.185229013
680	2.184046591
681	2.183808447
682	2.183249606
683	2.182111805
684	2.180195403
685	2.17917723
686	2.178522522
687	2.177563906
688	2.176751723
689	2.175144948
690	2.174844712
691	2.172675205
692	2.170430855
693	2.169073077
694	2.167006327
695	2.166186938
696	2.165144567
697	2.163409693
698	2.162694931
699	2.160063675
700	2.159090008
701	2.157784136
702	2.155613807
703	2.154287667
704	2.153143583
705	2.152929339
706	2.150931896
707	2.149757234
708	2.147603953
709	2.14499299
710	2.144209419
711	2.143827666
712	2.143402147
713	2.141186558
714	2.140883692
715	2.14057542
716	2.137939701
717	2.135917036
718	2.135452776
719	2.133751178
720	2.131659055
721	2.130585943
722	2.127789902
723	2.125277424
724	2.123755519
725	2.123299002
726	2.122899067
727	2.121583499
728	2.121486341
729	2.120830511
730	2.120058003
731	2.118735907
732	2.117262921
733	2.115429846
734	2.112539871
735	2.111856995
736	2.110092868
737	2.109418148
738	2.108453171
739	2.108246446
740	2.10751965
741	2.10581924
742	2.104941236
743	2.104023628
744	2.102344745
745	2.101794975
746	2.101462591
747	2.10008412
748	2.099945017
749	2.097944606
750	2.096266193
751	2.095971668
752	2.093435228
753	2.09117192
754	2.090896783
755	2.088251012
756	2.086418577
757	2.083917088
758	2.082235882
759	2.081184513
760	2.079150689
761	2.077480452
762	2.075840576
763	2.074019598
764	2.072804877
765	2.071132966
766	2.07011472
767	2.068775052
768	2.066257256
769	2.065750983
770	2.065645609
771	2.063378481
772	2.061295004
773	2.060206368
774	2.058874225
775	2.058261749
776	2.055088508
777	2.053660174
778	2.052723196
779	2.051213287
780	2.050350738
781	2.049623484
782	2.04665145
783	2.045132408
784	2.043920752
785	2.043293396
786	2.042496902
787	2.040784772
788	2.038958343
789	2.037548575
790	2.037435102
791	2.035946284
792	2.035312813
793	2.034940057
794	2.03441424
795	2.032673108
796	2.031337604
797	2.03012815
798	2.029681563
799	2.029504908
800	2.028686585
801	2.028621268
802	2.026697215
803	2.025726371
804	2.025555277
805	2.024128394
806	2.023810383
807	2.023147342
808	2.022234048
809	2.021089326
810	2.018766943
811	2.017189739
812	2.015689176
813	2.013913966
814	2.012288971
815	2.010420726
816	2.008338388
817	2.006905332
818	2.004722419
819	2.004662973
820	2.00306162
821	2.001497473
822	1.999587371
823	1.999442222
824	1.998040328
825	1.997889316
826	1.996658768
827	1.995741719
828	1.994826922
829	1.993638444
830	1.992585617
831	1.990974559
832	1.990873006
833	1.990669884
834	1.989409618
835	1.987396151
836	1.985722265
837	1.983401909
838	1.981728347
839	1.979737547
840	1.979691782
841	1.979157335
842	1.978397207
843	1.976838011
844	1.975799352
845	1.975377292
846	1.975313406
847	1.97365799
848	1.97210601
849	1.971259523
850	1.970026889
851	1.969829309
852	1.968112976
853	1.967642504
854	1.966089369
855	1.965025181
856	1.96497171
857	1.963853781
858	1.963332092
859	1.963026622
860	1.961335286
861	1.959349037
862	1.958235182
863	1.957717896
864	1.957301348
865	1.956074625
866	1.955632311
867	1.955070194
868	1.95433336
869	1.954045752
870	1.952686501
871	1.95080129
872	1.949944261
873	1.949185807
874	1.948571373
875	1.945270303
876	1.944445416
877	1.942107255
878	1.941704288
879	1.940472404
880	1.939302574
881	1.938430494
882	1.93826348
883	1.937733388
884	1.936473576
885	1.935753961
886	1.934184993
887	1.932146837
888	1.931879159
889	1.931445026
890	1.930460652
891	1.928559176
892	1.928434109
893	1.927208642
894	1.92662515
895	1.92454884
896	1.924071078
897	1.923067131
898	1.920922142
899	1.920305454
900	1.919663443
901	1.91659438
902	1.915284824
903	1.913834827
904	1.913273664
905	1.912256716
906	1.912078728
907	1.910620097
908	1.909334569
909	1.908584532
910	1.90796911
911	1.906425583
912	1.905805561
913	1.90490376
914	1.904296357
915	1.903109983
916	1.902189397
917	1.900387618
918	1.898420104
919	1.898046831
920	1.897962984
921	1.89775404
922	1.897125545
923	1.895145632
924	1.893310901
925	1.891831829
926	1.89074853
927	1.889612084
928	1.887566493
929	1.886753119
930	1.88527277
931	1.885030363
932	1.883721886
933	1.882803352
934	1.881921267
935	1.881671793
936	1.881196707
937	1.879808297
938	1.878552205
939	1.877582966
940	1.876727787
941	1.876032425
942	1.875234873
943	1.872802508
944	1.871733352
945	1.871036805
946	1.870912165
947	1.870044471
948	1.868693353
949	1.866382254
950	1.866096284
951	1.865941783
952	1.865769641
953	1.863936497
954	1.863147926
955	1.8628144
956	1.861975508
957	1.861577998
958	1.859941285
959	1.858669455
960	1.8585587
961	1.856799328
962	1.855965189
963	1.855560597
964	1.854547871
965	1.854291499
966	1.854217209
967	1.852867459
968	1.852742446
969	1.851369567
970	1.851036314
971	1.850803935
972	1.849954005
973	1.849387225
974	1.848777731
975	1.84725807
976	1.846356941
977	1.844804994
978	1.843137243
979	1.841468533
980	1.840363674
981	1.839167362
982	1.839109082
983	1.837530295
984	1.837261646
985	1.836581436
986	1.835481881
987	1.834178221
988	1.833564691
989	1.832767392
990	1.831306706
991	1.830917235
992	1.829663906
993	1.828782573
994	1.828305553
995	1.826378887
996	1.82630029
997	1.825883687
998	1.825795286
999	1.82524822
